12	1
年年	1
底	1
以来	0
国债	2
收益率	1
持续	0
上行	0

中国	1
月度	1
PMI	2
走势	0

白酒	2
及	0
葡萄酒	2
子	1
行业	1
净利润	1
增速	1
对比	0

乳制品	2
主要	2
公司	2
毛利率	1

FG	2
方向性	2
指数	1
变动	0

4	0
：	0
J	2
方向性	2
指数	1
变动	0

9	0
：	0
P	2
方向性	2
指数	1
变动	0

纺织	2
和	0
服装	2

布伦特	2
原油	2
月度	1
均价	1
（	0
美元	0
/	0
桶	0
）	0

汽车行业	2
、	0
乘用车	2
行业	2
净	1
利率	1
变化	0

零部件	2
行业	2
单季	1
净利润	1
（	0
亿元	0
）	0
及	0
同	1
环比	1
增速	1

汕头	2
一手	2
房价	2
：	0
中	0
高位	0
波动	0

圖	0
5	0
：	0
中	2
海外	2
純	1
利率	1
維	0
持	0
上升	0
趨	0
勢	0

点	0
和	0
“	0
里根	0
经济学	0
”	0
的	0
政策	0
要点	0
具有	0
高度	0
的	0
相似性	0
：	0

当日	1
市场	2
流动率	2
分布	0

天津港	2
焦炭	2
库存	1
走势	0

汽油价格	2
价差	1
走势	0

7	1
月份	1
洗衣机	2
行业	2
产量	1
同比	1
下滑	0
0.05	0
%	0

秦皇岛	1
港	1
5500	2
大卡	2
动力煤	2
价格	1
走势	0

政策性	2
金融债	2
非	1
国开	1
隐含	1
税率	1

社会	0
消费品	2
零售总额	1
、	0
增速	1

圖	0
表	0
6	0
:	0
南山	2
人	2
壽獲	2
利	1
圖	1

圖	0
表	0
4	0
；	0
鐿鈦	2
微波	2
開	2
關	2
產	2
品	2

圖	0
二	0
：	0
譜	2
瑞	2
歷	1
史	1
PE	1

我国	2
适龄	1
在校学生	2
数	1
（	0
万人	0
）	0

重要	0
化工产品	2
期货价格	1

西安	1
(	0
西北地区	1
)	0
玻璃	2
价格	1
环比	1
持平	0

人民币	2
汇率	1
走势	0
人民币	2
即期	1
及	0
远期	1
汇率	1
人民币	2
3	1
月	1
远期	1
-	0
即期	1
汇率	1

国债	2
期货	1
仿真	0
交易	0
行情	0

二	0
、	0
波	2
羅	2
的	2
海散	2
貨	2
數	1

磷矿石	2
（	0
28	0
%	0
）	0
价格	1
走势图	0
（	0
元	0
/	0
吨	0
）	0

1	0
、	0
丁苯橡胶	2
价差	1
走势图	0
（	0
元	0
/	0
吨	0
）	0

上周	1
重要	1
指数	1
及	0
化工	2
板块	2
涨跌幅	1

国际原油	2
价格	1
走势图	0
（	0
美元	0
/	0
桶	0
）	0

2013	1
年	1
上半年	1
营业收入	2
高速	0
增长	0

样本	2
外	2
跟踪	2
组合	2
超额	1
收益	1

欧菲光	2
季度	1
毛利率	1

磷矿石	2
价格	1
底部	0
徘徊	0

多数	0
上市	0
复	2
合肥	2
公司	2
毛利率	1
提升	0

集装箱船	2

股票	1
质押	2
式	2
回购	2
流程图	0

-	0
4	0
：	0
航空	2
保障	2
与	0
地	2
服	2
业务	2
毛利润	1
及	0
毛利率	1

房地产	2
开发	1
投资	1
增速	1
：	0
累计	1
同比	1

商品房	2
销售	1
面积	1
增速	1
：	0
单月	1
同比	1
：	0
分类	0
型	0

住宅	2
用地	2
流标	1
情况	0

圖	0
表	0
一	0
、	0
越	2
峰	2
近期	1
營	1
運	1
狀況	0
(	0
底下	0
百分比	0
為	0
藍	2
寶	2
石晶	2
棒	2
營	1
收	1
比重	1
)	0

